id,player_id,games,pos,points,rebounds,assists,steals,blocks,turnovers,fg_percentage,three_point_percentage,free_throw_percentage,updated_at,minutes,case_name
89,120,1096,5,13.1,7.9,3.2,0.8,1.2,1.4,0.512,0.38,0.761,"2024-12-08 21:03:02",NULL,"Al Horford"
90,73,963,5,15.1,22.5,4.3,-1,-1,-1,0.44,-1,0.561,"2024-12-08 21:03:02",NULL,"Bill Russell"
91,74,1074,3,27.2,7,4.4,1.1,1.1,3.2,0.501,0.388,0.883,"2024-12-08 21:03:02",NULL,"Kevin Durant"
92,75,202,1,21,6.2,7.4,1.5,0.3,3.4,0.427,0.371,0.836,"2024-12-08 21:03:02",NULL,"LaMelo Ball"
93,76,6,2,0.7,0.2,0.3,0.2,0,0,0.167,0,1,"2024-12-08 21:03:02",NULL,"Bronny James"
94,77,1270,3,20.8,6.3,4.8,1.2,0.3,2.5,0.439,-1,0.815,"2024-12-08 21:03:02",NULL,"John Havlicek"
95,79,556,1,17.5,2.4,4.8,0.8,0.1,2.2,0.434,0.363,0.872,"2024-12-08 21:03:02",NULL,"Isaiah Thomas"
96,80,1,1,0,0,0,0,0,0,-1,-1,-1,"2024-12-08 21:03:02",NULL,"JamesOn Curry"
97,81,1560,5,24.6,11.2,3.6,0.9,2.6,2.7,0.559,0.056,0.721,"2024-12-08 21:03:02",NULL,"Kareem Abdul-Jabbar"
99,121,1118,3,10.4,4.8,2.1,1.5,0.3,1.3,0.422,0.351,0.731,"2024-12-09 02:38:31",NULL,"Trevor Ariza"
100,122,1054,2,22,4.7,5.4,1.5,0.8,3.2,0.48,0.293,0.765,"2024-12-09 02:38:31",NULL,"Dwyane Wade"
101,123,914,2,26.7,3.7,6.2,2.2,0.2,3.6,0.425,0.313,0.78,"2024-12-09 02:38:31",NULL,"Allen Iverson"
